time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-10-14T03:51:35.950Z,12.5763,-88.0465,40,7.3,mww,,19,0.62,1.24,us,usb000slwn,2014-10-14T14:10:29.822Z,"67km WSW of Jiquilillo, Nicaragua",earthquake
2014-10-14T03:41:30.300Z,36.4031667,-117.8343333,3.36,1.82,ml,22,88,0.1491,0.36,ci,ci37278888,2014-10-14T03:45:16.480Z,"30km SE of Lone Pine, California",earthquake
2014-10-14T03:36:35.390Z,33.9953333,-116.7788333,16.58,0.97,ml,30,53,0.04643,0.27,ci,ci37278880,2014-10-14T03:40:25.120Z,"8km N of Cabazon, California",earthquake
2014-10-14T03:31:14.440Z,9.2277,-83.9984,13.52,4.5,mb,,135,0.777,1.78,us,usb000slwj,2014-10-14T13:53:09.770Z,"28km SE of Quepos, Costa Rica",earthquake
2014-10-14T03:29:51.560Z,38.8131676,-122.8171692,2.94,0.86,md,8,125,0.01786,0.02,nc,nc72326741,2014-10-14T05:36:03.606Z,"6km NW of The Geysers, California",earthquake
2014-10-14T03:15:46.300Z,47.6568,-121.989,7.3,1.8,Ml,,72,0.03593261,0.39,uw,uw60093308,2014-10-14T03:31:36.298Z,"3km SE of Union Hill-Novelty Hill, Washington",earthquake
2014-10-14T02:45:21.920Z,34.295,-117.502,15.84,1.32,ml,43,33,0.04173,0.32,ci,ci37278872,2014-10-14T02:49:21.000Z,"14km SW of Oak Hills, California",earthquake
2014-10-14T02:44:25.800Z,-56.5719,-26.964,89,4.7,mb,,126,5.887,0.62,us,usb000slwb,2014-10-14T10:46:53.858Z,"20km NE of Visokoi Island, ",earthquake
2014-10-14T02:33:14.270Z,33.6096667,-116.7078333,16.1,0.98,ml,42,35,0.04959,0.22,ci,ci37278864,2014-10-14T02:43:48.390Z,"6km NNW of Anza, California",earthquake
2014-10-14T02:22:12.000Z,61.7831,-150.8804,53.8,1.7,ml,,,,0.53,ak,ak11417734,2014-10-14T02:43:40.993Z,"44km W of Willow, Alaska",earthquake
2014-10-14T02:18:54.800Z,19.5117,-155.1815,0,1.7,md,,172.799986176001,0.1077978,0.35,hv,hv60789741,2014-10-14T02:21:57.000Z,"9km WSW of Mountain View, Hawaii",earthquake
2014-10-14T02:10:04.240Z,36.4413338,-121.0090027,2.95,1.51,md,11,123,0.0185,0.04,nc,nc72326721,2014-10-14T06:08:07.016Z,"24km ENE of Greenfield, California",earthquake
2014-10-14T02:06:01.160Z,36.4421654,-121.0094986,2.71,1.61,md,14,124,0.01909,0.07,nc,nc72326716,2014-10-14T05:38:08.819Z,"24km ENE of Greenfield, California",earthquake
2014-10-14T01:56:27.830Z,31.627,-116.0003333,1.1,2.76,ml,3,153,0.3793,0.34,ci,ci37278848,2014-10-14T09:58:53.894Z,"54km E of Maneadero, Mexico",earthquake
2014-10-14T01:28:01.000Z,62.2143,-153.3604,0,1.9,ml,,,,0.87,ak,ak11417723,2014-10-14T01:44:12.320Z,"141km SE of McGrath, Alaska",earthquake
2014-10-14T01:25:20.000Z,61.4288,-148.9472,28.5,1.4,ml,,,,0.26,ak,ak11417722,2014-10-14T01:44:11.760Z,"13km SSE of Butte, Alaska",earthquake
2014-10-14T01:07:02.790Z,36.5023,-98.5579,15.83,2.5,mb_lg,,105,0.378,0.51,us,usb000sluz,2014-10-14T11:10:27.674Z,"26km NNW of Fairview, Oklahoma",earthquake
